,active,cc.y,color,data.properties.name,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target,type
0,False,,#d48a60,Owner,is officer of,False,68538,is officer of,2,11.1540748988,1,305805,25410,curvedArrow
1,False,2.0,#d48a60,Shareholder,is officer of,False,408578,is officer of,2,11.1540748988,1,305805,25410,curvedArrow
2,False,,#baaba3,,registered address,False,817690,registered address,2,11.1540748988,1,305805,578271,
3,False,,#d48a60,Beneficiay,is officer of,False,57476,is officer of,2,11.1540748988,1,657879,25410,
4,False,,#d48a60,Shareholder,is officer of,False,408579,is officer of,2,11.1540748988,1,305804,25410,
5,False,,#baaba3,,registered address,,332776,registered address,2,11.1540748988,1,657879,666297,
6,,,#8a6960,,registered,False,666479,registered,2,11.1540748988,1,590939,25410,
