,active,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.city,data.properties.classification,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.file_number,data.properties.former_name,data.properties.inactivationDate,data.properties.jurisdiction,data.properties.name,data.properties.prospect_date,data.properties.region,data.properties.registrationDate,data.properties.status,data.properties.struck_off_date,data.properties.subclassification,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fa2_x,fa2_y,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,glyphs.1.content,glyphs.1.draw,glyphs.1.font,glyphs.1.position,glyphs.1.textColor,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.fixed,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,size,x,y
0,False,#420e00,#420e00,Company,,,,,,,,,,700808,,16-JAN-2007,PMA,UF UNIVERSE FOUNDATION,,,11-AUG-2003,MOR,15-JAN-2007,,is officer of,3,Officer,3,registered,1.0,Client,1.0,4,0,4,-12.918,8.467,True,0,0,0,False,top-right,,,,,,#fff,,FontAwesome,1,225723,UF UNIVERSE FOUNDATION,True,-12.918,8.467,5,-12.918,8.467,31.547867224,1190.22913471,391.750126047,1,-12.918,8.467
1,False,#851d00,#851d00,Client,25-SEP-1992,CO. FORMATION SERVICE,LONDON,Special rates,MOSSACK FONSECA & CO. (U.K.) LIMITED,6517,INTRODUCER,UNITED KINGDOM,A & S TEST CLIENT,,RM COMPANY SERVICES LIMITED,,,MOSSACK FONSECA & CO. (U.K.) LIMITED,,REPRESENTATIVE CLIENTS,,ACTIVE,,Representative,registered,2538,Company,2538,,,,,2538,2536,2,8.0,21.7,True,0,0,2.536k,True,top-right,,,,,,#fff,,FontAwesome,1,590963,MOSSACK FONSECA & CO. (U.K.) LIMITED,True,8.0,21.7,5,8.0,21.7,31.547867224,1399.40913471,524.080126047,1,8.0,21.7
2,False,#420e00,#420e00,Company,,,,,,,,,,21979,,20-JUL-2006,PMA,FM MANAGEMENT HOLDING GROUP S.A.,,,19-FEB-2003,MOR,15-JUL-2006,,registered,1,Client,1,,,,,1,0,1,26.882,5.567,True,0,0,0,False,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,220441,FM MANAGEMENT HOLDING GROUP S.A.,True,26.882,5.567,5,10.6361730576,4.48397479057,31.547867224,1425.77086529,351.919873953,1,10.6361730576,4.48397479057
3,False,#be4400,#be4400,Officer,,,,,,,,,,,,,,Mehriban Aliyeva,,,,,,,is officer of,1,Company,1,,,,,1,0,1,-15.218,25.067,True,0,0,0,False,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,667759,Mehriban Aliyeva,True,-15.218,25.067,5,-20.3638269424,20.1839747906,31.547867224,1115.77086529,508.919873953,1,-20.3638269424,20.1839747906
4,False,#be4400,#be4400,Officer,,,,,,,,,,,,,,Leyla Aliyeva,,,,,,,is officer of,3,Company,3,,,,,3,2,1,-18.0,-18.1,True,0,0,2,True,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,667760,Leyla Aliyeva,True,-14.118,-9.233,5,-17.2638269424,-11.3160252094,31.547867224,1146.77086529,193.919873953,1,-17.2638269424,-11.3160252094
5,False,#be4400,#be4400,Officer,,,,,,,,,,,,,,Arzu Aliyeva,,,,,,,is officer of,3,Company,3,,,,,3,2,1,12.482,-6.833,True,0,0,2,True,top-right,,,,,,#fff,,FontAwesome,1,667761,Arzu Aliyeva,True,12.482,-6.833,5,12.482,-6.833,31.547867224,1444.22913471,238.750126047,1,12.482,-6.833
