,active,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.city,data.properties.classification,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.file_number,data.properties.former_name,data.properties.inactivationDate,data.properties.jurisdiction,data.properties.name,data.properties.prospect_date,data.properties.region,data.properties.registrationDate,data.properties.status,data.properties.struck_off_date,data.properties.subclassification,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fa2_x,fa2_y,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,glyphs.1.content,glyphs.1.draw,glyphs.1.font,glyphs.1.position,glyphs.1.textColor,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,selected,size,x,y
0,True,#420e00,#420e00,Company,,,,,,,,,,14012,,24-JUN-2014,PMA,DELANTERA FINANCIERA S.A.,,,23-MAY-1969,DIS,15-JUL-2016,,is officer of,2,Officer,1,registered,1.0,Client,1.0,3,0,3,5.59325265884,-18.2639141083,True,0.0,0.0,0,False,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,39358,DELANTERA FINANCIERA S.A.,8.702,5.965,5,4.17547440529,-6.07567749023,31.547867224,1413,267,True,1,4.17547440529,-6.07567749023
1,False,#851d00,#851d00,Client,30-SEP-1993,ATTORNEY,MADRID,Special rates,GOMEZ-ACEBO & POMBO ABOGADOS,4675,INTERMEDIARY,SPAIN,MULLERAT (MADRID),,,,,GOMEZ-ACEBO & POMBO ABOGADOS,,PROFESSIONAL CLIENTS,,ACTIVE,,,registered,1,Company,1,,,,,1,0,1,-7.24230384827,16.8125591278,True,0.0,0.0,0,False,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,590714,GOMEZ-ACEBO & POMBO ABOGADOS,-5.941,-4.072,5,-0.824525594711,12.3243225098,31.547867224,1363,451,,1,-0.824525594711,12.3243225098
2,,#be4400,#be4400,Officer,,,,,,,,,,,,,,Pilar de Borbón,,,,,,,is officer of,2,Company,1,,,,,2,0,2,0.188166111708,0.098959133029,True,,,0,False,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,667729,Pilar de Borbón,,,5,-22.4245255947,5.52432250977,31.547867224,1147,383,,1,-22.4245255947,5.52432250977
