,active,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.city,data.properties.classification,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.former_name,data.properties.name,data.properties.prospect_date,data.properties.region,data.properties.status,data.properties.subclassification,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fa2_x,fa2_y,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,glyphs.1.content,glyphs.1.draw,glyphs.1.font,glyphs.1.position,glyphs.1.textColor,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.fixed,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,size,x,y
0,False,#851d00,#851d00,Client,21-DEC-2009,,PANAMA,,"AUSTROBANK OVERSEAS ( PANAMÁ), S.A.",27638,,PANAMA,,,"AUSTROBANK OVERSEAS ( PANAMÁ), S.A.",,,ACTIVE,,is officer of,1,Officer,1,registered,3.0,Company,3.0,4,3,1,21.5318704169,9.63362548463,True,0.0,0.0,3,True,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,584613,"AUSTROBANK OVERSEAS ( PANAMÁ), S.A.",True,32.015,14.102,5,-13.6039233727,0.810684514046,31.547867224,1114.5,289,1,-13.6039233727,0.810684514046
1,False,#be4400,#be4400,Officer,,,,,,,,,,,Pedro Delgado,,,,,is officer of,1,Client,1,,,,,1,0,1,21.5318704169,9.63362548463,True,,,0,False,top-right,,True,FontAwesome,bottom-right,#000,#fff,,FontAwesome,1,667750,Pedro Delgado,,,,5,19.4960766273,14.810684514,31.547867224,1445.5,429,1,19.4960766273,14.810684514
