,color,data.properties.date_end,data.properties.date_start,data.properties.name,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target
0,#d48a60,,,Beneficiary,is officer of,,56712,is officer of,2,3.26966553075,1,653764,76642
1,#d48a60,,29/11/1999,Sole signatory,is officer of,,69517,is officer of,2,3.26966553075,1,667752,76642
2,#d48a60,,,Shareholder,is officer of,False,505125,is officer of,2,3.26966553075,1,302740,76642
3,#8a6960,,,,registered,,671038,registered,2,3.26966553075,1,587847,76642
4,#d48a60,,,Shareholder,is officer of,False,15030,is officer of,2,3.26966553075,1,302740,277479
5,#d48a60,,,Shareholder,is officer of,False,25671,is officer of,2,3.26966553075,1,302740,148291
6,#d48a60,,,Shareholder,is officer of,,33865,is officer of,2,3.26966553075,1,302740,32747
7,#d48a60,,,Beneficiary,is officer of,,56706,is officer of,2,3.26966553075,1,653764,7950
8,#d48a60,,,Beneficiary,is officer of,False,56707,is officer of,2,3.26966553075,1,653764,1431
9,#d48a60,,,Beneficiary,is officer of,,56708,is officer of,2,3.26966553075,1,653764,30882
10,#d48a60,,,Beneficiary,is officer of,,56709,is officer of,2,3.26966553075,1,653764,221515
11,#d48a60,,,Beneficiary,is officer of,False,56710,is officer of,2,3.26966553075,1,653764,91001
12,#d48a60,,,Beneficiary,is officer of,,56711,is officer of,2,3.26966553075,1,653764,256958
13,#d48a60,,,Beneficiary,is officer of,False,56713,is officer of,2,3.26966553075,1,653764,172555
14,#d48a60,,,Beneficiary,is officer of,,56714,is officer of,2,3.26966553075,1,653764,148291
15,#d48a60,,,Beneficiary,is officer of,False,56715,is officer of,2,3.26966553075,1,653764,88127
16,#d48a60,,,Beneficiary,is officer of,False,56716,is officer of,2,3.26966553075,1,653764,245626
17,#d48a60,,,Beneficiary,is officer of,,56717,is officer of,2,3.26966553075,1,653764,208828
