,active,color,data.properties.date_end,data.properties.date_start,data.properties.name,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target
0,False,#8a6960,,,,registered,False,619212,registered,2,12.6191468896,1,580712,268698
1,False,#8a6960,,,,registered,False,802296,registered,2,12.6191468896,1,580712,48479
2,,#d48a60,,03/02/2004,Power of attorney,is officer of,False,69451,Power of attorney,2,12.6191468896,1,667731,48479
3,,#d48a60,,03/03/2004,Power of attorney,is officer of,False,69452,Power of attorney,2,12.6191468896,1,667731,268698
