,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.ceasedmembership,data.properties.certificateNumber,data.properties.citizenship,data.properties.city,data.properties.classification,data.properties.classofshares,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.custodianaddress,data.properties.custodianname,data.properties.dateofissue,data.properties.file_number,data.properties.former_name,data.properties.inactivationDate,data.properties.jurisdiction,data.properties.name,data.properties.newcertificate,data.properties.numbershares,data.properties.passport_copy,data.properties.pep,data.properties.prospect_date,data.properties.region,data.properties.registerlocation,data.properties.registrationDate,data.properties.rst,data.properties.sharestransferred,data.properties.status,data.properties.struck_off_date,data.properties.subclassification,data.properties.transferdate,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.digest.2.edgeType,data.statistics.digest.2.edges,data.statistics.digest.2.nodeCategories.0,data.statistics.digest.2.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.fixed,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,size,x,y
10,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,518177,,,BVI,BAY SHORE ESTATES LIMITED,,,,,,,,05-JUL-1996,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,2,4,True,0,0,2,True,top-right,#fff,,FontAwesome,1,30882,BAY SHORE ESTATES LIMITED,True,-161.998,-103.779,5,-161.998,-103.779,8.17416382687,1054.17106919,85.8821721913,1,-161.998,-103.779
11,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521580,,,BVI,BERKELEY SQUARE PROPERTIES LIMITED,,,,,,,,16-APR-1997,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,3,3,True,0,0,3,True,top-right,#fff,,FontAwesome,1,32747,BERKELEY SQUARE PROPERTIES LIMITED,True,-161.998,-90.278,5,-161.998,-90.278,8.17416382687,1054.17106919,110.840047111,1,-161.998,-90.278
12,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,574249,,,BVI,OXFORD & CITY HOLDINGS LIMITED,,,,,,,,28-OCT-2005,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,1,3,True,0,0,1,True,top-right,#fff,,FontAwesome,1,55834,OXFORD & CITY HOLDINGS LIMITED,True,-163.76,118.077,5,-163.76,118.077,8.17416382687,1050.9138456,496.00396304,1,-163.76,118.077
13,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,74716,,,FOREIGN,1 KENSINGTON ROAD MANAGEMENT COMPANY LIMITED,,,,,,,,17-FEB-2014,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,2,2,True,0,0,2,True,top-right,#fff,,FontAwesome,1,60003,1 KENSINGTON ROAD MANAGEMENT COMPANY LIMITED,True,-163.76,188.497,5,-163.76,188.497,8.17416382687,1050.9138456,626.181990732,1,-163.76,188.497
14,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,543046,,,BVI,BERKELEY SQUARE HOLDINGS LIMITED,,,,,,,,25-MAY-2001,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,1,3,True,0,0,1,True,top-right,#fff,,FontAwesome,1,80469,BERKELEY SQUARE HOLDINGS LIMITED,True,-162.561,-97.029,5,-162.561,-97.029,8.17416382687,1053.13031046,98.3601853541,1,-162.561,-97.029
15,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521575,,,BVI,SLOANE STREET RESIDENTIAL PROPERTIES LIMITED,,,,,,,,21-APR-1997,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,2,4,True,0,0,2,True,top-right,#fff,,FontAwesome,1,88127,SLOANE STREET RESIDENTIAL PROPERTIES LIMITED,True,-163.76,149.013,5,-163.76,149.013,8.17416382687,1050.9138456,553.192083811,1,-163.76,149.013
16,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521574,,,BVI,SLOANE STREET COMMERCIAL PROPERTIES LIMITED,,,,,,,,16-APR-1997,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,2,4,True,0,0,2,True,top-right,#fff,,FontAwesome,1,91001,SLOANE STREET COMMERCIAL PROPERTIES LIMITED,True,-163.353,137.209,5,-163.353,137.209,8.17416382687,1051.66622358,531.37127383,1,-163.353,137.209
17,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,547162,,,BVI,CLEMENTINE INVESTMENTS LIMITED,,,,,,,,06-AUG-1998,,,MOR,30-APR-2015,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,4,2,True,0,0,4,True,top-right,#fff,,FontAwesome,1,105769,CLEMENTINE INVESTMENTS LIMITED,True,-163.123,-32.899,5,-163.123,-32.899,8.17416382687,1052.09140033,216.910553373,1,-163.123,-32.899
18,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,514649,,,BVI,FORESTWAY PROPERTIES LIMITED,,,,,,,,07-JUL-1995,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,2,3,True,0,0,2,True,top-right,#fff,,FontAwesome,1,148291,FORESTWAY PROPERTIES LIMITED,True,-163.123,3.666,5,-163.123,3.666,8.17416382687,1052.09140033,284.504412824,1,-163.123,3.666
19,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,551119,,,BVI,HAM RIDINGS LIMITED,,,,,,,,18-OCT-2002,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,1,3,True,0,0,1,True,top-right,#fff,,FontAwesome,1,160463,HAM RIDINGS LIMITED,True,-163.629,10.641,5,-163.629,10.641,8.17416382687,1051.15601149,297.398359759,1,-163.629,10.641
